System,Subject,Category,Item,Year,No. of Cases
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2005,413
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2005,41
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2005,234
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological  abuse,2005,23
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2005,52
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2005,462
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2005,301
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2005,454
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Sibling ,2005,24
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Step-parent,2005,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Grandparent,2005,36
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Relative,2005,21
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Friend,2005,35
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Family friend / Parent of peer,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Caregiver,2005,20
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Teacher,2005,3
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,School teacher / personnel,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Staff of boarding section of school,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Tutor / Coach,2005,12
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Religious personnel,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Schoolmate / friend / peer,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Co-tenant / Neighbour,2005,16
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Inmate of residential service,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unrelated person (including strangers) ,2005,81
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified Person / Others,2005,
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Unidentified person,2005,0
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Other,2005,
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Central & Western,2005,7
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Southern,2005,12
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Islands,2005,14
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Eastern,2005,31
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wan Chai,2005,2
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kowloon City,2005,21
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yau Tsim Mong,2005,23
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sham Shui Po,2005,39
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Wong Tai Sin,2005,26
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Sai Kung,2005,38
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwun Tong,2005,78
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Shatin,2005,43
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tai Po,2005,37
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,North,2005,41
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Yuen Long,2005,133
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tsuen Wan,2005,29
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Kwai Tsing,2005,50
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Tuen Mun,2005,102
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Outside Hong Kong,2005,15
CPR,Newly Registered Child Protection Cases,District Where Maltreatment Incident Happened,Unknown,2005,22
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Physical abuse,2006,438
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Neglect,2006,77
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Sexual abuse,2006,233
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Psychological  abuse,2006,12
CPR,Newly Registered Child Protection Cases,Types of Harm/Maltreatment,Multiple abuse,2006,46
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Female,2006,467
CPR,Newly Registered Child Protection Cases,Sex of Maltreated Child,Male,2006,339
CPR,Newly Registered Child Protection Cases,Perpetrator's Relationship with Maltreated Child,Parent,2006,521
